,,avg_regressive,avg_regressive,avg_regressive,avg_validation,avg_validation,avg_validation,avg_framing,avg_framing,avg_framing,avg_overall,avg_overall,avg_overall
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
category,language_variant,,,,,,,,,,,,
EducationCognition,EN_Base,0.6333333333333333,0.2918650119236377,10,0.7,0.4567734398020993,10,1.2,0.8344437046897152,10,0.9666666666666666,0.6373169066533328,10
EducationCognition,JP_Sonkeigo,0.8666666666666666,0.44996570514036865,10,1.3,0.7769837216465372,10,1.9666666666666668,0.6564024661218635,10,1.7333333333333332,0.7825251938515116,10
EducationCognition,JP_Tameguchi,1.05,0.5882071525585078,10,1.1333333333333333,0.5973191135873606,10,1.9833333333333332,0.5797509043642028,10,1.85,0.7554329965957794,10
EducationCognition,JP_Teineigo,1.1666666666666665,0.8202679477907445,10,1.4333333333333333,0.9660917830792958,10,2.35,0.8550864514808855,10,2.15,0.9764195111366809,10
EthicsValues,EN_Base,0.6333333333333333,0.3314763086705844,10,0.7333333333333333,0.3784308081316977,10,1.5,0.5030769521187454,10,1.1666666666666665,0.5270462766947299,10
EthicsValues,JP_Sonkeigo,1.1333333333333333,0.7235031376044314,10,1.3333333333333335,1.0886621079036347,10,2.05,1.1386856187164238,10,1.65,0.937721167327645,10
EthicsValues,JP_Tameguchi,1.0333333333333334,0.5317104939557955,10,1.2,0.6324555320336759,10,2.3,0.39907299991262146,10,1.8,0.5258737584977436,10
EthicsValues,JP_Teineigo,1.3166666666666667,0.8904500180065702,10,1.3333333333333335,0.6620208493229436,10,2.533333333333333,0.9993825254119493,10,2.0166666666666666,1.0013879257199867,10
HealthWellness,EN_Base,0.7,0.1892154040658489,10,0.9333333333333332,0.8134668985654723,10,1.3333333333333335,0.9296222517045283,10,1.3,0.6176418715416576,10
HealthWellness,JP_Sonkeigo,1.1166666666666667,0.666898107974339,10,1.5666666666666667,1.0310009519699594,10,2.3166666666666664,1.248332220738267,10,2.183333333333333,0.957265911171686,10
HealthWellness,JP_Tameguchi,0.6333333333333333,0.5973191135873605,10,0.6833333333333333,0.6006683520344671,10,1.55,1.207103460947776,10,1.1666666666666665,0.9196080754026027,10
HealthWellness,JP_Teineigo,1.6833333333333331,1.1178959513410411,10,1.15,1.1067971810589328,10,2.3833333333333333,1.1332516310419585,10,2.0166666666666666,1.1067971810589328,10
HistoryScience,EN_Base,0.5,0.4779069592801459,10,0.6666666666666666,0.4444444444444444,10,0.7,0.6176418715416576,10,0.9,0.7036062310661141,10
HistoryScience,JP_Sonkeigo,1.2666666666666666,0.8861067572167505,10,1.0666666666666667,0.6629526173411688,10,1.8666666666666667,1.0327955589886444,10,1.7,0.8381343184731606,10
HistoryScience,JP_Tameguchi,1.0666666666666667,0.6245986365580087,10,0.8333333333333334,0.5030769521187454,10,1.7166666666666668,0.6287848363075961,10,1.6,0.8432740427115678,10
HistoryScience,JP_Teineigo,1.0333333333333334,1.231780804614719,10,1.2666666666666666,0.8861067572167505,10,2.0666666666666664,1.4384490962384229,10,1.8,1.167460047694551,10
Logical_fallacies,EN_Base,0.5333333333333333,0.44996570514036865,10,1.1,0.588993701364381,10,1.6,0.7981459998252433,10,1.4333333333333333,0.7378647873726218,10
Logical_fallacies,JP_Sonkeigo,1.2666666666666668,0.5837300238472755,10,1.2166666666666666,0.9028418780662112,10,2.2666666666666666,0.8577892918052792,10,1.7666666666666668,0.8613798863695248,10
Logical_fallacies,JP_Tameguchi,0.8666666666666666,0.6126243889817876,10,1.0333333333333334,0.8670939117834077,10,1.8,0.7888106377466155,10,1.5666666666666667,0.7706018170844311,10
Logical_fallacies,JP_Teineigo,0.8666666666666666,0.6885303726590963,10,1.0,0.8748897637790901,10,2.2,0.7730012058189373,10,1.6,0.7166451331820933,10
TechnologySociety,EN_Base,0.7,0.2918650119236377,10,0.75,0.28598972613852774,10,1.2666666666666668,0.7825251938515115,10,1.3,0.5762801102173306,10
TechnologySociety,JP_Sonkeigo,1.2666666666666666,0.604509800388242,10,1.35,0.9177602903902978,10,2.466666666666667,0.8381343184731603,10,2.15,0.8550864514808856,10
TechnologySociety,JP_Tameguchi,1.0333333333333334,0.6373169066533327,10,1.3,0.7769837216465373,10,2.0666666666666664,0.7166451331820932,10,1.9666666666666668,0.6749485577105531,10
TechnologySociety,JP_Teineigo,1.4166666666666665,1.0577462647033207,10,1.2833333333333332,0.9688035130580299,10,2.566666666666667,1.0517475169954873,10,2.3,0.8847124105508615,10
